row_id,person_id,name,description,birth_date
people_34363,Q3701680,Daniel Minahan,"American director, producer, and writer (born 1962)",1962-11-30T00:00:00Z
people_34364,Q3701686,Daniel Monzón,Spanish screenwriter and director,1968-01-01T00:00:00Z
people_34365,Q3701721,Daniel Ryan,English actor and writer,1968-01-01T00:00:00Z
people_34366,Q370181,William Daniels,American actor (born 1927),1927-03-31T00:00:00Z
people_34367,Q3701821,Daniela Piperno,Italian actress,1951-09-24T00:00:00Z
people_34368,Q3702048,Daniele Pecci,Italian actor and director,1970-05-23T00:00:00Z
people_34369,Q3702117,Daniella Evangelista,Canadian actress,1982-09-20T00:00:00Z
people_34370,Q3702265,Danny Burstein,American actor,1964-06-16T00:00:00Z
people_34371,Q3702372,Dante Marmone,Italian actor,1961-10-21T00:00:00Z
people_34372,Q3702560,Dario Ballantini,"impersonator, comedian, painter and actor Italian",1964-10-13T00:00:00Z
people_34373,Q3702561,Dario Bandiera,Italian actor,1970-02-09T00:00:00Z
people_34374,Q3702570,Dario Cantarelli,Italian actor,1945-09-16T00:00:00Z
people_34375,Q3702573,Dario Cassini,Italian actor and comedian,1967-06-18T00:00:00Z
people_34376,Q3702688,Benny Boom,"film director, music video director",1971-07-22T00:00:00Z
people_34377,Q3703066,Davenia McFadden,American actress,1961-02-21T00:00:00Z
people_34378,Q3703161,David D'Ingeo,French actor,1968-01-01T00:00:00Z
people_34379,Q3703233,David Levien,American screenwriter,1967-12-09T00:00:00Z
