row_id,movie_id,person_id,statement_id
directors_8100,Q14302636,Q72014,q14302636-bea62c78-4fd6-abe4-ee84-dd30369fd364
directors_8101,Q1430336,Q1769261,q1430336-14698421-0D55-47FE-950D-43D14BA2667F
directors_8102,Q1430594,Q270911,Q1430594-FCB2F0B2-581C-422D-867E-7BE6A8D05813
directors_8103,Q1430996,Q519019,Q1430996-F40D8E31-5CB4-4DF6-904C-53F963771C79
directors_8104,Q1431299,Q38278327,Q1431299-244CDED7-5806-47F6-B084-A5AEB0D6399D
directors_8105,Q14315430,Q113946352,Q14315430-1D209C04-82CF-4637-9918-CBB512344A4F
directors_8106,Q1431639,Q2624537,q1431639-90032187-16A7-4AFE-A393-E67D9D9C583F
directors_8107,Q1431684,Q51537,q1431684-ED7D6352-3751-4EEF-9C8B-F32EBFB60DEA
directors_8108,Q14317024,Q7380291,q14317024-5832B010-8D51-4C3F-95B6-3E15C00533EB
directors_8109,Q1431878,Q175498,q1431878-12A938F7-A2D8-4B18-9C21-B3E2D9FAE0EC
directors_8110,Q14320,Q60100,q14320-6638BC8B-CE56-4995-8E07-E72F8AE14B5D
directors_8111,Q1432136,Q3290385,q1432136-4D286DA4-FE24-47BD-A802-4949AD53DB0C
directors_8112,Q14323819,Q114778336,Q14323819-F9A48F5D-3AAB-4A7A-BFEE-45A070C4D8DD
directors_8113,Q14324139,Q3346041,q14324139-BC7F8565-A69C-4E09-8E74-936DC3E9BA77
directors_8114,Q14324275,Q114684572,Q14324275-3D4AEFDA-CF61-4080-8685-0D37110EBF31
directors_8115,Q14324388,Q3565126,Q14324388-2829fee2-4402-11e8-7f35-b188d2feddc4
directors_8116,Q1432480,Q277996,q1432480-E6490B06-B5D1-49E7-886E-AF87D99CB5E4
directors_8117,Q1432482,Q3189167,q1432482-CA60CE40-3140-4D6C-8244-7DD785EA15DB
directors_8118,Q14326808,Q317814,q14326808-630E571E-CCD4-498C-9A25-7ED8173C493E
directors_8119,Q1432710,Q103917,q1432710-F702FF72-FB52-4781-8D47-4719B4377F28
directors_8120,Q1432853,Q548823,q1432853-4E2B36D2-44F9-4452-8C36-02F24D1EA032
directors_8121,Q14329493,Q504463,Q14329493-492521f0-4bd9-7596-6042-f907c8292989
directors_8122,Q1433265,Q958200,q1433265-461027B8-FDE7-4773-814A-D15248EF91D4
directors_8123,Q1433657,Q13612098,q1433657-2c1632fe-4966-81bb-045d-ef5bfb15afa9
directors_8124,Q14339915,Q1337354,q14339915-0f4c78c7-4063-e134-f099-772b64efebe1
directors_8125,Q1434212,Q5962216,Q1434212-5CBA6544-7A1C-46DC-8E57-FD6FE334C19E
directors_8126,Q1434504,Q5614699,Q1434504-084D7DD1-9E03-49B6-B0B1-870AECEB76A8
directors_8127,Q14346601,Q113740344,Q14346601-B7DDF789-BAC0-432F-B77D-609E5D82223E
directors_8128,Q14346752,Q16069130,Q14346752-E2D7E56C-90CD-4063-866C-59E6B100867C
directors_8129,Q1434730,Q4707732,Q1434730-431139C1-17F7-4125-97BA-6E5CD71EA66C
directors_8130,Q1434995,Q3481357,q1434995-00918003-9E44-4CEF-A438-CCB37496FF4A
directors_8131,Q1435036,Q771104,q1435036-FD366E54-588F-4D82-9B77-77761F1B8974
directors_8132,Q1435058,Q6984188,q1435058-31EA2F3D-826D-434F-ABDE-957987E4F501
directors_8133,Q1435107,Q14120433,q1435107-bf367366-4dc9-2961-1779-983c90c2b32b
directors_8134,Q14359607,Q1282375,Q14359607-6c263b9b-479b-26f4-a58f-145915621f04
directors_8135,Q1435966,Q4695886,Q1435966-E49D6ACB-B5D7-457B-B794-0668FAF5AC88
directors_8136,Q143605,Q967182,q143605-46587BF2-81C0-4AAB-90A5-E1FF664DA26E
directors_8137,Q14361469,Q12609311,Q14361469-E9217E70-6834-454A-897E-9CED9152B5FC
directors_8138,Q14366059,Q306403,q14366059-805d9294-4876-a569-4ddd-e3baca1e0da5
directors_8139,Q14369698,Q1446528,q14369698-f19b997a-443a-8a59-4287-338127e68b72
directors_8140,Q14369796,Q18358288,Q14369796-0F0D8E63-B23E-4953-80A1-CB7CC1A5EDF6
directors_8141,Q14369911,Q55422,q14369911-83cfb200-40b1-de5f-19cc-1b6295542119
directors_8142,Q14369942,Q23829713,Q14369942-8835A06A-CA0E-46DD-ACE5-2A567E11E408
directors_8143,Q14370012,Q558806,q14370012-8858e064-42e1-f8c5-91e4-ef8778273d0c
directors_8144,Q14370105,Q1373590,q14370105-9ff1894a-4cc9-d8d8-1fd3-c4be3f7c6177
directors_8145,Q14370516,Q3369526,q14370516-D952B9EB-E202-4A55-BB33-56F70B1A9682
directors_8146,Q143716,Q363005,q143716-0F107557-D831-43B1-A1B4-99E66E9E3016
directors_8147,Q14371870,Q4992193,q14371870-5d6c595b-4759-d0b8-ddea-e71beb82183f
directors_8148,Q1437261,Q15277249,Q1437261-1452B7D5-1059-4DF6-BD4E-C740E8674B30
directors_8149,Q14387340,Q1866610,Q14387340-CF108698-72BF-4DD6-B9C1-5D4726D9F3F5
directors_8150,Q14388012,Q3623929,q14388012-49D2A767-B978-46F0-AEC4-7594D40C4DC6
directors_8151,Q1438833,Q3237660,q1438833-942C1A23-2C15-4032-8B5F-453CDBCB3FB4
directors_8152,Q1439290,Q1658289,Q1439290-6F26002C-9FA7-40B4-A2AC-8B908ACC5F84
directors_8153,Q14394381,Q115272113,Q14394381-EFB9C253-4686-41D8-8F2A-430D02858A64
directors_8154,Q1439492,Q463565,q1439492-BC8C0910-F453-480B-AB58-E87A7E829C94
directors_8155,Q1439514,Q4727150,q1439514-76A33504-95EC-4383-B447-E9A2BDEC37EE
directors_8156,Q1439591,Q51541,q1439591-AFDF1F4D-342D-499F-B7F7-6EAE1F94DE72
directors_8157,Q14396397,Q15215623,Q14396397-5bed0f5b-4281-0cbe-1446-57cb924780db
directors_8158,Q1439722,Q1757186,q1439722-38D049F7-3B28-43CA-8A85-AE84F35C46A8
directors_8159,Q1439722,Q1889351,q1439722-1C55FD18-6027-460D-87C4-5F511BE42BE4
directors_8160,Q14399854,Q707336,q14399854-D888EDC2-8E4E-4DB4-8F89-877D196C9601
directors_8161,Q1440375,Q19268774,Q1440375-E22E7122-2507-4ACA-9E5C-522FDDC4855A
directors_8162,Q14404793,Q21787617,Q14404793-ed251953-2cb2-42ea-8c3e-ea5ac97cb56a
